Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,pwm_commanded_us,point_idx,resting_voltage_V,
88.08162739999997,1525,,,,-0.004140625,0.0511328125,-1.008203125,0.004084669531254562,-0.05815230968746311,8.052024778040888,0.5986690534157002,6690,0,4.820497574932954,2.8616648939749223,59.36659728937909,0.02032224068483687,0.012063789690643425,0.1462109375,,1525,10,8.151525290890152,
99.92360809999998,1550,,,,-0.0083203125,0.0530078125,-1.0020703125,0.004507342405676059,-0.061549027419330146,8.038775674837561,0.7044897161034257,6943,0,5.663234438128021,3.2770556410737908,57.86571944375116,0.018782683285899656,0.010868221342966,0.155625,,1550,11,8.151525290890152,
112.01054329999997,1575,,,,-0.007265625,0.0512109375,-1.0096484375,0.0060268033418219335,-0.06749678332002984,8.021867387682743,0.8436433165875101,7158,0,6.767594266173628,4.517666777288979,66.75416501483258,0.01494207550292189,0.009973597505440164,0.179609375,,1575,12,8.151525290890152,
124.341259,1600,,,,-0.01203125,0.0671875,-1.0040625,0.006797288725544852,-0.07316376977074683,8.006413157269478,0.9617338766599804,7377,0,7.700038965758767,5.250812134107163,68.19190351760963,0.013933955713415292,0.009501753720903042,0.18078125,,1600,13,8.151525290890152,
136.9368659,1625,,,,-0.006640625,0.05078125,-0.9980078125,0.007557178742892777,-0.07622169734527919,7.989110178674992,1.0753576319540432,7581,0,8.59114703402059,5.999863508017068,69.83789380619409,0.01270519190475238,0.008872316145290257,0.213515625,,1625,14,8.151525290890152,
149.7985754,1650,,,,-0.001640625,0.044453125,-1.006328125,0.0077165875531089965,-0.0801477847079302,7.974030515958036,1.1958390729020991,7786,0,9.53565778684223,6.291631357487978,65.98174156101923,0.01273925634323708,0.008405178722453766,0.2087890625,,1650,15,8.151525290890152,
162.90851840000002,1675,,,,-0.007890625,0.045625,-1.0021484375,0.008032942157035115,-0.08473423808086189,7.956856625017256,1.3335780848435812,7959,0,10.61108916431757,6.695230749923626,63.097024163079006,0.012657341858542469,0.007985482292109741,0.2020703125,,1675,16,8.151525290890152,
176.26310529999998,1700,,,,-0.0093359375,0.0498046875,-1.00828125,0.008005065859132616,-0.08747603911654572,7.941213025106241,1.4567797538677894,8206,0,11.568596027319275,6.878582665471957,59.45963551299162,0.01271719722336067,0.0075615815707251125,0.2343359375,,1700,17,8.151525290890152,
189.87061299999993,1725,,,,-0.0125,0.0612109375,-1.0136328125,0.008478381226903163,-0.09213671674908452,7.921949497676535,1.6111007919166818,8376,0,12.76305926059709,7.436808135618775,58.26943800734602,0.01238952485196458,0.007219005776955964,0.19875,,1725,18,8.151525290890152,
203.73384840000003,1750,,,,-0.003125,0.036875,-1.0077734375,0.00912174155825674,-0.09571169518266713,7.903316772595515,1.7830859662297298,8560,0,14.092293023228583,8.17643800758243,58.02107169150401,0.011705818157585732,0.006791809503701357,0.2176171875,,1750,19,8.151525290890152,
217.7841651999999,1760,,,,-0.003125,0.0515234375,-1.0069921875,0.008497931519311445,-0.09585892990612445,7.896658179469693,1.8109292205228902,8672,0,14.300291160675004,7.717621428428877,53.96799102961727,0.012421147696558586,0.006703306187727793,0.2164453125,,1760,20,8.151525290890152,
231.9780783999999,1775,,,,0.002890625,0.079140625,-1.0045703125,0.009430370734111095,-0.0998791282035066,7.879911084654651,1.9324377629517082,8712,0,15.227437704364242,8.603761190395627,56.50194928633797,0.01160878537359519,0.006559157912753729,0.2217578125,,1775,21,8.151525290890152,
246.3908664999999,1800,,,,-0.01234375,0.04953125,-1.0073828125,0.00965292704311634,-0.10293336499586997,7.860969662909903,2.092368484433114,8900,0,16.448047272788493,8.996490167070787,54.69635558809064,0.011441734367292506,0.006258093837090817,0.252890625,,1800,22,8.151525290890152,
261.04148419999996,1825,,,,0,0.0428515625,-1.01484375,0.009607079931047209,-0.10891848807889067,7.84051675319788,2.275985050896483,9069,0,17.84489702020582,9.123826922193954,51.12855882160366,0.011938206685141646,0.006103625378115441,0.316015625,,1825,23,8.151525290890152,
275.93767009999993,1850,,,,-0.0080859375,0.0598828125,-1.00078125,0.009860041474160558,-0.10991302077086627,7.821469809411298,2.4284918441398293,9291,0,18.99437722221617,9.59302237426467,50.504264547878186,0.011458030673322999,0.0057866120681041135,0.3418359375,,1850,24,8.151525290890152,
291.07104819999995,1875,,,,0.0018359375,0.048359375,-0.996328125,0.010249892779564658,-0.11417860785425198,7.8005105984827585,2.5840084061721256,9434,0,20.156585718702228,10.126160514756178,50.23758697593443,0.011275668903243621,0.005664575911175842,0.348359375,,1875,25,8.151525290890152,
306.5015518999999,1900,,,,-0.0075390625,0.051015625,-1.008359375,0.010929877227423694,-0.11854271933892394,7.77755083943637,2.773480901366181,9504,0,21.570888746047398,10.87854259517685,50.4313731293176,0.010905999601595,0.0054955038161187296,0.3622265625,,1900,26,8.151525290890152,
322.3392527,1950,,,,-0.0039453125,0.0508203125,-1.002265625,0.01152226804867558,-0.1265259734587163,7.736378369372765,3.163146006707633,9863,0,24.471296885902515,11.901260188383178,48.63433791850356,0.010632171096619352,0.005170404416863339,0.3289453125,,1950,27,8.151525290890152,
338.6461523,2000,,,,-0.0121484375,0.06234375,-1.007265625,0.013179104224921943,-0.1339652899301128,7.693597171800049,3.5062052632829297,10040,0,26.97533212110811,13.856399832192803,51.36699558365208,0.009668159779266753,0.004966216391053946,0.4453125,,2000,28,8.151525290890152,
